#Updated: 02/12/2016 07:21:57
#organism_name	taxID	group	sub group	assembly	level	refSeq FTP	geneBank FTP
Balaenoptera bonaerensis	33556	Animals	Mammals	GCA_000978805.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/805/GCA_000978805.1_ASM97880v1
Gavia stellata	37040	Animals	Birds	GCA_000690875.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/875/GCF_000690875.1_ASM69087v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/875/GCA_000690875.1_ASM69087v1
Scleropages formosus	113540	Animals	Fishes	GCA_001624265.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/624/265/GCF_001624265.1_ASM162426v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/265/GCA_001624265.1_ASM162426v1
Panthera pardus	9691	Animals	Mammals	GCA_001857705.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/857/705/GCA_001857705.1_PanPar1.0
Tilletia walkeri	117179	Fungi	Basidiomycetes	GCA_001645055.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/055/GCA_001645055.1_ASM164505v1
Toxocara canis	6265	Animals	Roundworms	GCA_000803305.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/803/305/GCA_000803305.1_Toxocara_canis_adult_r1.0
Pachysolen tannophilus NRRL Y-2460	669874	Fungi	Ascomycetes	GCA_001661245.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2
Botryobasidium botryosum FD-172 SS1	930990	Fungi	Basidiomycetes	GCA_000697705.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/705/GCA_000697705.1_Botbo1
Pygocentrus nattereri	42514	Animals	Fishes	GCA_001682695.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/695/GCF_001682695.1_Pygocentrus_nattereri-1.0.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/695/GCA_001682695.1_Pygocentrus_nattereri-1.0.2
Lagenaria siceraria	3668	Plants	Land Plants	GCA_000466325.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/325/GCA_000466325.1_Bottle_gourd
Chinchilla lanigera	34839	Animals	Mammals	GCA_000276665.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/665/GCF_000276665.1_ChiLan1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/665/GCA_000276665.1_ChiLan1.0
Hypholoma sublateritium FD-334 SS-4	945553	Fungi	Basidiomycetes	GCA_000827495.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/495/GCA_000827495.1_Hypsu1
Leptonychotes weddellii	9713	Animals	Mammals	GCA_000349705.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/705/GCF_000349705.1_LepWed1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/705/GCA_000349705.1_LepWed1.0
Pieris rapae	64459	Animals	Insects	GCA_001856805.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/805/GCA_001856805.1_P_rapae_3842_assembly_v2
Acropora digitifera	70779	Animals	Other Animals	GCA_000222465.2 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/465/GCF_000222465.1_Adig_1.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/465/GCA_000222465.2_Adig_1.1
Lipomyces starkeyi NRRL Y-11557	675824	Fungi	Ascomycetes	GCA_001661325.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/325/GCA_001661325.1_Lipst1_1
Lepisosteus oculatus	7918	Animals	Fishes	GCA_000242695.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/695/GCF_000242695.1_LepOcu1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/695/GCA_000242695.1_LepOcu1
Arthrobotrys oligospora ATCC 24927	756982	Fungi	Ascomycetes	GCA_000225545.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/545/GCF_000225545.1_AOL24927_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/545/GCA_000225545.1_AOL24927_1.0
Cordyceps militaris CM01	983644	Fungi	Ascomycetes	GCA_000225605.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/605/GCF_000225605.1_CmilitarisCM01_v01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/605/GCA_000225605.1_CmilitarisCM01_v01
Manis pentadactyla	143292	Animals	Mammals	GCA_000738955.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/955/GCA_000738955.1_M_pentadactyla-1.1.1
Thermothelomyces thermophila ATCC 42464	573729	Fungi	Ascomycetes	GCA_000226095.1 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/095/GCF_000226095.1_ASM22609v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/095/GCA_000226095.1_ASM22609v1
Thielavia terrestris NRRL 8126	578455	Fungi	Ascomycetes	GCA_000226115.1 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/115/GCF_000226115.1_ASM22611v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/115/GCA_000226115.1_ASM22611v1
Cucumis melo	3656	Plants	Land Plants	GCA_000313045.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/045/GCF_000313045.1_ASM31304v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/045/GCA_000313045.1_ASM31304v1
Citrus sinensis	2711	Plants	Land Plants	GCA_000317415.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/415/GCF_000317415.1_Csi_valencia_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/415/GCA_000317415.1_Csi_valencia_1.0
Gossypium hirsutum	3635	Plants	Land Plants	GCA_000987745.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/745/GCF_000987745.1_ASM98774v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/745/GCA_000987745.1_ASM98774v1
Schistosoma haematobium	6185	Animals	Flatworms	GCA_000699445.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/445/GCF_000699445.1_SchHae_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/445/GCA_000699445.1_SchHae_1.0
Echinococcus granulosus	6210	Animals	Flatworms	GCA_000524195.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/195/GCA_000524195.1_ASM52419v1
Columba livia	8932	Animals	Birds	GCA_000337935.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/935/GCF_000337935.1_Cliv_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/935/GCA_000337935.1_Cliv_1.0
Morone saxatilis	34816	Animals	Fishes	GCA_001663605.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/605/GCA_001663605.1_SBDraft1
Castanea mollissima	60419	Plants	Land Plants	GCA_000763605.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/763/605/GCA_000763605.1_ASM76360v1
Pan paniscus	9597	Animals	Mammals	GCA_000258655.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/655/GCF_000258655.2_panpan1.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/655/GCA_000258655.2_panpan1.1
Tetrahymena malaccensis 436	1075772	Protists	Other Protists	GCA_000231845.2 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/845/GCA_000231845.2_Tetra_malac_V2
Capra hircus	9925	Animals	Mammals	GCA_001704415.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/415/GCF_001704415.1_ASM170441v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/415/GCA_001704415.1_ASM170441v1
Camelus dromedarius	9838	Animals	Mammals	GCA_000767585.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/585/GCF_000767585.1_PRJNA234474_Ca_dromedarius_V1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/585/GCA_000767585.1_PRJNA234474_Ca_dromedarius_V1.0
Silene latifolia subsp. alba	52853	Plants	Land Plants	GCA_001412135.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/135/GCA_001412135.1_ASM141213v1
Notothenia coriiceps	8208	Animals	Fishes	GCA_000735185.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/735/185/GCF_000735185.1_NC01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/735/185/GCA_000735185.1_NC01
Bactrocera dorsalis	27457	Animals	Insects	GCA_000789215.2 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/215/GCF_000789215.1_ASM78921v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/215/GCA_000789215.2_ASM78921v2
Pantholops hodgsonii	59538	Animals	Mammals	GCA_000400835.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/835/GCF_000400835.1_PHO1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/835/GCA_000400835.1_PHO1.0
Xiphophorus maculatus	8083	Animals	Fishes	GCA_000241075.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/241/075/GCF_000241075.1_Xiphophorus_maculatus-4.4.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/075/GCA_000241075.1_Xiphophorus_maculatus-4.4.2
Melopsittacus undulatus	13146	Animals	Birds	GCA_000238935.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/238/935/GCF_000238935.1_Melopsittacus_undulatus_6.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/935/GCA_000238935.1_Melopsittacus_undulatus_6.3
Jaculus jaculus	51337	Animals	Mammals	GCA_000280705.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/705/GCF_000280705.1_JacJac1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/705/GCA_000280705.1_JacJac1.0
Citrullus lanatus	3654	Plants	Land Plants	GCA_000238415.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/415/GCA_000238415.1_CiLa_1.0
Balaenoptera acutorostrata scammoni	310752	Animals	Mammals	GCA_000493695.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/695/GCF_000493695.1_BalAcu1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/695/GCA_000493695.1_BalAcu1.0
Gossypium barbadense	3634	Plants	Land Plants	GCA_001856525.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/525/GCA_001856525.1_GbV1.0
Locusta migratoria	7004	Animals	Insects	GCA_000516895.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/895/GCA_000516895.1_LocustGenomeV1
Tetradesmus obliquus	3088	Plants	Green Algae	GCA_900108755.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/108/755/GCA_900108755.1_sob1
Fagopyrum esculentum	3617	Plants	Land Plants	GCA_001661195.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/195/GCA_001661195.1_FES_r1.0
Taenia saginata	6206	Animals	Flatworms	GCA_001693075.2 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/075/GCA_001693075.2_ASM169307v2
Dirofilaria immitis	6287	Animals	Roundworms	GCA_001077395.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/395/GCA_001077395.1_ASM107739v1
Crassostrea gigas	29159	Animals	Other Animals	GCA_000297895.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/895/GCF_000297895.1_oyster_v9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/895/GCA_000297895.1_oyster_v9
Camelus bactrianus	9837	Animals	Mammals	GCA_000767855.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/855/GCF_000767855.1_Ca_bactrianus_MBC_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/855/GCA_000767855.1_Ca_bactrianus_MBC_1.0
Panthera tigris altaica	74533	Animals	Mammals	GCA_000464555.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/555/GCF_000464555.1_PanTig1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/555/GCA_000464555.1_PanTig1.0
Moniliophthora roreri MCA 2997	1381753	Fungi	Basidiomycetes	GCA_000488995.1 	Contig	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/488/995/GCF_000488995.1_M_roreri_MCA_2997_v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/488/995/GCA_000488995.1_M_roreri_MCA_2997_v1
Penicillium chrysogenum	5076	Fungi	Ascomycetes	GCA_000710275.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/275/GCA_000710275.1_ASM71027v1
Podospora anserina S mat+	515849	Fungi	Ascomycetes	GCA_000226545.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/545/GCF_000226545.1_ASM22654v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/545/GCA_000226545.1_ASM22654v1
Dracunculus medinensis	318479	Animals	Roundworms	GCA_000946415.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/946/415/GCA_000946415.1_D_medinensis_Ghana
Cyprinus carpio	7962	Animals	Fishes	GCA_000951615.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/615/GCF_000951615.1_common_carp_genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/615/GCA_000951615.2_common_carp_genome
Anguilla anguilla	7936	Animals	Fishes	GCA_000695075.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/075/GCA_000695075.1_Anguilla_anguilla_v1_09_nov_10
Ophiophagus hannah	8665	Animals	Reptiles	GCA_000516915.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/915/GCA_000516915.1_OphHan1.0
Heliconius cydno cordula	328831	Animals	Insects	GCA_001485745.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/745/GCA_001485745.1_Heliconius_cydno_cordula.M2258
Heliconius melpomene melpomene	171917	Animals	Insects	GCA_000313835.2 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/835/GCA_000313835.2_ASM31383v2
Microtus ochrogaster	79684	Animals	Mammals	GCA_000317375.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/375/GCF_000317375.1_MicOch1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/375/GCA_000317375.1_MicOch1.0
Condylura cristata	143302	Animals	Mammals	GCA_000260355.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/355/GCF_000260355.1_ConCri1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/355/GCA_000260355.1_ConCri1.0
Tetrahymena borealis	5893	Protists	Other Protists	GCA_000260095.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/095/GCA_000260095.1_Tetra_borealis_V1
Tetrahymena elliotti 4EA	1075773	Protists	Other Protists	GCA_000231825.2 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/825/GCA_000231825.2_Tetra_elliot_V2
Aspergillus sojae NBRC 4239	927772	Fungi	Ascomycetes	GCA_000226655.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/655/GCA_000226655.1_AsojaeNBRC4239_1.0
Oryza brachyantha	4533	Plants	Land Plants	GCA_000231095.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/095/GCF_000231095.1_Oryza_brachyantha.v1.4b	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/095/GCA_000231095.2_Oryza_brachyantha.v1.4b
Trypanosoma congolense IL3000	1068625	Protists	Kinetoplasts	GCA_000227395.2 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/395/GCA_000227395.2_ASM22739v2
Trypanosoma vivax Y486	1055687	Protists	Kinetoplasts	GCA_000227375.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/375/GCA_000227375.1_ASM22737v1
Saitoella complicata NRRL Y-17804	698492	Fungi	Ascomycetes	GCA_001661265.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/265/GCF_001661265.1_Saico1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/265/GCA_001661265.1_Saico1
Sporisorium reilianum SRZ2	999809	Fungi	Basidiomycetes	GCA_000230245.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/245/GCA_000230245.1_ASM23024v1
Capsicum annuum	4072	Plants	Land Plants	GCA_000710875.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/875/GCF_000710875.1_Pepper_Zunla_1_Ref_v1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/875/GCA_000710875.1_Pepper_Zunla_1_Ref_v1.0
Kluyveromyces marxianus DMKU3-1042	1003335	Fungi	Ascomycetes	GCA_001417885.1 	Complete Genome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/417/885/GCA_001417885.1_Kmar_1.0
Brassica oleracea var. oleracea	109376	Plants	Land Plants	GCA_000695525.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/525/GCF_000695525.1_BOL	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/525/GCA_000695525.1_BOL
Sarcocystis neurona	42890	Protists	Apicomplexans	GCA_000727475.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/727/475/GCA_000727475.1_ASM72747v1
Mastigamoeba balamuthi ATTC 30984	1313166	Protists	Other Protists	GCA_000765095.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/095/GCA_000765095.1_BN839
Apteryx australis mantelli	202946	Animals	Birds	GCA_001039765.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/765/GCF_001039765.1_AptMant0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/765/GCA_001039765.1_AptMant0
Drosophila miranda	7229	Animals	Insects	GCA_000269505.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/505/GCF_000269505.1_DroMir_2.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/505/GCA_000269505.2_DroMir_2.2
Leucoraja erinacea	7782	Animals	Fishes	GCA_000238235.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/235/GCA_000238235.1_LER_WGS_1
Daphnia magna	35525	Animals	Other Animals	GCA_001632505.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/505/GCA_001632505.1_daphmag2.4
Rhinolophus ferrumequinum	59479	Animals	Mammals	GCA_000465495.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/495/GCA_000465495.1_ASM46549v1
Oryza punctata	4537	Plants	Land Plants	GCA_000573905.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/905/GCA_000573905.1_Oryza_punctata_v1.2
Aegilops tauschii	37682	Plants	Land Plants	GCA_000347335.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/335/GCA_000347335.1_ASM34733v1
Solanum melongena	4111	Plants	Land Plants	GCA_000787875.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/875/GCA_000787875.1_SME_r2.5.1
Musa acuminata subsp. malaccensis	214687	Plants	Land Plants	GCA_000313855.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/855/GCF_000313855.2_ASM31385v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/855/GCA_000313855.2_ASM31385v2
Eragrostis tef	110835	Plants	Land Plants	GCA_000970635.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/635/GCA_000970635.1_ASM97063v1
Setaria italica	4555	Plants	Land Plants	GCA_000263155.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/155/GCF_000263155.2_Setaria_italica_v2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/155/GCA_000263155.2_Setaria_italica_v2.0
Drosophila americana	40366	Animals	Insects	GCA_001245395.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/245/395/GCA_001245395.1_D._americana_H5_strain_genome_assembly
Ancylostoma ceylanicum	53326	Animals	Roundworms	GCA_000688135.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/135/GCA_000688135.1_Acey_2013.11.30.genDNA
Gossypium arboreum	29729	Plants	Land Plants	GCA_000612285.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/285/GCF_000612285.1_Gossypium_arboreum_v1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/612/285/GCA_000612285.2_Gossypium_arboreum_v1.0
Lentinula edodes	5353	Fungi	Basidiomycetes	GCA_001562095.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/562/095/GCA_001562095.1_B17
Pneumocystis murina B123	1069680	Fungi	Ascomycetes	GCA_000349005.1 	Contig	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/005/GCF_000349005.1_Pneumo_murina_B123_V2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/005/GCA_000349005.1_Pneumo_murina_B123_V2
Spodoptera frugiperda	7108	Animals	Insects	GCA_000753635.2 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/753/635/GCA_000753635.2_ASM75363v2
Brassica juncea var. tumida	323352	Plants	Land Plants	GCA_001687265.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/265/GCA_001687265.1_Brassica_juncea_var_tumida_T84-66_v1
Brassica nigra	3710	Plants	Land Plants	GCA_001682895.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/895/GCA_001682895.1_ASM168289v1
Trypanosoma rangeli SC58	429131	Protists	Kinetoplasts	GCA_000492115.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/492/115/GCA_000492115.1_T_rangeli_SC58v1
Phlebotomus papatasi	29031	Animals	Insects	GCA_000262795.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/795/GCA_000262795.1_Ppap_1.0
Nippostrongylus brasiliensis	27835	Animals	Roundworms	GCA_000951335.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/335/GCA_000951335.1_N_brasiliensis_RM07_v1_5_4
Sphaeroforma arctica JP610	667725	Protists	Other Protists	GCA_001186125.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/125/GCF_001186125.1_Spha_arctica_JP610_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/186/125/GCA_001186125.1_Spha_arctica_JP610_V1
Pneumocystis jirovecii RU7	1408657	Fungi	Ascomycetes	GCA_001477535.1 	Contig	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/535/GCF_001477535.1_Pneu_jiro_RU7_V2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/535/GCA_001477535.1_Pneu_jiro_RU7_V2
Pinus taeda	3352	Plants	Land Plants	GCA_000404065.2 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/404/065/GCA_000404065.2_Ptaeda1.01
Nosema bombycis CQ1	578461	Fungi	Other Fungi	GCA_000383075.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/075/GCA_000383075.1_NosBomCQ1_v1.0
Vigna unguiculata subsp. unguiculata	3920	Plants	Land Plants	GCA_001687525.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/525/GCA_001687525.1_Cowpea_0.03
Tremella mesenterica DSM 1558	578456	Fungi	Basidiomycetes	GCA_000271645.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/645/GCF_000271645.1_Treme1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/645/GCA_000271645.1_Treme1
Plasmopara viticola	143451	Protists	Other Protists	GCA_001695595.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/595/GCA_001695595.1_ASM169559v1
Lupinus angustifolius	3871	Plants	Land Plants	GCA_001865875.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/875/GCA_001865875.1_LupAngTanjil_v1.0
Vigna angularis	3914	Plants	Land Plants	GCA_001190045.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/045/GCF_001190045.1_Vigan1.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/045/GCA_001190045.1_Vigan1.1
Trifolium pratense	57577	Plants	Land Plants	GCA_900079335.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/335/GCA_900079335.1_Trpr
